,name,qid,measure,value
118,qrels_colbert-pubmed-bert-rankings_at_10,116,bpref,0.05263157894736842
119,qrels_colbert-pubmed-bert-rankings_at_10,116,ndcg_cut_10,0.6673546295859658
120,qrels_colbert-pubmed-bert-rankings_at_10,117,map,0.04963818860877685
121,qrels_colbert-pubmed-bert-rankings_at_10,117,bpref,0.06718569780853519
122,qrels_colbert-pubmed-bert-rankings_at_10,117,ndcg_cut_10,0.3550113174198941
123,qrels_colbert-pubmed-bert-rankings_at_10,118,map,0.0012121212121212121
124,qrels_colbert-pubmed-bert-rankings_at_10,118,bpref,0.006060606060606061
125,qrels_colbert-pubmed-bert-rankings_at_10,118,ndcg_cut_10,0.04257155882081049
126,qrels_colbert-pubmed-bert-rankings_at_10,119,map,0.014150943396226415
127,qrels_colbert-pubmed-bert-rankings_at_10,119,bpref,0.018689925240299037
128,qrels_colbert-pubmed-bert-rankings_at_10,119,ndcg_cut_10,0.2674859484828555
129,qrels_colbert-pubmed-bert-rankings_at_10,121,map,0.033555555555555554
130,qrels_colbert-pubmed-bert-rankings_at_10,121,bpref,0.039099999999999996
131,qrels_colbert-pubmed-bert-rankings_at_10,121,ndcg_cut_10,0.4474942318651376
132,qrels_colbert-pubmed-bert-rankings_at_10,123,map,0.043668122270742356
133,qrels_colbert-pubmed-bert-rankings_at_10,123,bpref,0.043668122270742356
134,qrels_colbert-pubmed-bert-rankings_at_10,123,ndcg_cut_10,0.8591813986343119
135,qrels_colbert-pubmed-bert-rankings_at_10,126,map,0.01
136,qrels_colbert-pubmed-bert-rankings_at_10,126,bpref,0.02185185185185185
137,qrels_colbert-pubmed-bert-rankings_at_10,126,ndcg_cut_10,0.1358489126330755
138,qrels_colbert-pubmed-bert-rankings_at_10,127,map,0.044193948412698414
139,qrels_colbert-pubmed-bert-rankings_at_10,127,bpref,0.055625
140,qrels_colbert-pubmed-bert-rankings_at_10,127,ndcg_cut_10,0.5920243574053144
141,qrels_colbert-pubmed-bert-rankings_at_10,130,map,0.03323586744639376
142,qrels_colbert-pubmed-bert-rankings_at_10,130,bpref,0.03468899521531101
143,qrels_colbert-pubmed-bert-rankings_at_10,130,ndcg_cut_10,0.7815061854158577
144,qrels_colbert-pubmed-bert-rankings_at_10,131,map,0.02710727969348659
145,qrels_colbert-pubmed-bert-rankings_at_10,131,bpref,0.034407138535995155
