docid	readability_score_transformer	flesch_reading_ease	text_standard
0f5617b7-adc7-4d80-93c1-fccc8f436d41	-2.8672730922698975	16.22	17.0
8cdbae38-612d-4cc1-95e4-2c7223027de0	-2.858802556991577	27.62	16.0
03174157-683e-42d7-b92c-2f1dd9343f4c	-2.9711382389068604	30.06	13.0
55e1fe2b-2a97-468c-83b9-f441c8c4770f	-2.7171053886413574	39.87	14.0
d7b818c4-c44d-45da-b7bc-e72fbdcaf00b	-2.895676374435425	27.35	17.0
58d478c7-281e-4ac6-82d2-b6d5ec1d31eb	-2.8923654556274414	-114.67	42.0
a9ef428c-a299-4586-9c4e-d690ceeed776	-2.935112476348877	30.16	13.0
0d400f16-eedb-4e5c-9f3e-c6d9094cc9f5	-2.886472702026367	35.57	15.0
32763855-c347-45a1-a93f-e3c51b770dd6	-2.9015884399414062	21.43	16.0
ef4c3ca0-8ac3-4159-bc3c-811935825c2b	-2.9367165565490723	31.51	15.0
651e4b65-8dd7-4eea-a736-e020c2ab6e12	-2.8435726165771484	43.43	14.0
6c3a6d11-f9c7-4103-8541-d2f859dcc838	-2.905745029449463	36.28	15.0
62fc78c5-08d1-4db9-8553-5be5c753fdba	-2.9221670627593994	36.28	15.0
4586450d-e4e1-4a32-be05-a24ddcce4180	-2.781986713409424	26.1	16.0
53f3a984-bc14-4c37-a0cc-fc7b5fe4af03	-2.90114426612854	37.0	12.0
4a85cc72-2703-4447-9ee9-4b577959dfbe	-2.9459328651428223	20.48	13.0
d6cae4d7-8b68-4360-a421-78f9b1c11ca1	-2.907902717590332	39.84	14.0
d6fc8406-0037-4830-bb14-2d186ea16cb8	-2.91019868850708	36.08	15.0
d319959b-6373-4510-b6bb-feff42232af4	-2.912391185760498	45.46	14.0
978af5e2-4bc4-4df4-81e1-34cdb4f00dd7	-2.9373230934143066	30.36	14.0
2c126963-0469-4e57-9ea0-169ec5ba7ff2	-2.9302539825439453	20.86	19.0
f0977221-20fb-4615-acdd-936e3c86e033	-2.7402379512786865	-88.62	35.0
47ddb903-fbc0-41ae-a5c2-383897d57a4b	-2.8047118186950684	28.43	13.0
978ca1f1-6911-4661-aabe-5c5f2392b150	-2.7472476959228516	30.87	15.0
a981dc20-9b02-4ac7-b5af-239dfcda77cb	-2.7457785606384277	28.23	17.0
83ba59ac-f994-46ab-9680-c13bc4f61aeb	-2.8156890869140625	19.97	20.0
4f015f9c-1142-4176-978d-007c24d57a33	-2.761226177215576	22.11	20.0
191fd0c1-6f87-4987-bd62-4586d74bef28	-2.750223159790039	22.0	14.0
1e70d965-8eba-44be-adc6-a203dec58c45	-2.886204242706299	38.82	12.0
ee768570-1625-4a48-9043-739fa26c2e28	-2.792598247528076	19.16	13.0
40e8ab7d-2fcc-4f47-987d-4e12cf8197c4	-2.7945728302001953	38.72	12.0
80393579-8d39-4ff6-a43a-ec4d7c36e3ea	-2.757411479949951	37.3	12.0
a76ee124-9eff-476f-9aac-763097b25809	-2.716312885284424	21.8	19.0
49c0f8a0-42d3-4575-bd61-8b3e399d8144	-2.7456531524658203	21.6	16.0
9a1588aa-679a-44fd-aa7b-9e865b08e377	-2.75165057182312	22.31	14.0
dd08965f-82c7-4508-b9af-f6e1a76703d9	-2.792776107788086	19.16	15.0
8905f6e5-2618-48dc-bd35-dbe087a83f8f	-2.7906599044799805	22.41	14.0
